ángelait	ángelaite
napoleonismus	napoleonism
naproxen	naproxen
napsterisierung	napsterization
napsylat	napsylate
naqqara	naqqara
naquit	naquite
narbenartig	stigmatic
narbenbedeckt	scarred
narbenbildend	cicatrizant
narbenbildung	cicatrization
narbendurchtrennung	cicatricotomy
narbengesicht	scarface
narbenlos	unscarred
narbenrevision	cicatricotomy
narbenschnitt	ulotomy
narben	cicatrices
narbe	cicatrice
narbig	cicatricial
narbige	foveate
narbig	foveal
narbigkeit	pitting
narbig	pitted
narde	nard
naringenin	naringenin
naringin	naringin
narkoanalyse	narcoanalysis
narkolepsie	narcolepsy
narkoleptisch	narcoleptic
narkologie	anaesthesiology
narkoseärzte	anaesthetists
narkosearzt	anaesthetist
narkosemittel	anaesthetic
narkosenfachärztin	anaesthesiologist
narkosenfacharzt	anaesthesiologist
narkosenfachlehre	anaesthesiology
narkosen	narcoses
narkose	anaesthesia
narkotherapie	narcotherapy
narkotika	anaesthetics
narkotikum	anaesthetic
narkotisch	narcotic
narkotiseur	anesthetist
narkotisierend	narcotic
narkotisiert	narcotized
narkotisierung	narcotization
narkotismus	narcotism
narration	narration
narrativ	epic
narrativität	narrativity
narrativ	narrative
narratologie	narratology
narratologisch	narratological
narrend	hoaxing
narrenkappe	duncecap
narrenmützen	foolscaps
narrenmütze	foolscap
narrenpritsche	bauble
narrensicher	foolproof
narren	jesters
narretei	jest
narrheiten	foolishness
narrheit	folly
narrisch	foolish
narr	goop
narsarsukit	narsarsukite
narthex	narthex
narthices	narthices
narthizes	narthices
narwal	narwal
narwa	narva
narzißmus	narcissism
narzißtisch	narcissistic
narzissen	daffodils
narzisse	jonquil
narzissmus	narcism
narzisstin	narcissist
narzisstisch	narcissistic
narzisst	narcissist
narziss	narcissist
nasaliert	nasalised
nasalierung	nasalization
nasalisierung	nasalization
nasalität	nasality
nasallaut	nasal
naschen	nibbling
naschereien	candy
nascherei	nibbling
naschmarkt	naschmarkt
nasenöffnung	nostril
nasenausfluss	rhinorrhea
nasenbär	coati
nasenbeutler	bandicoot
nasenbluten	epistaxis
nasenblutung	nosebleed
nasenbremse	twitch
nasendusche	collunarium
nasenerkrankung	rhinopathy
nasenfahrrad	glasses
nasenheilkunde	rhinology
nasenkanüle	rhinophore
nasenkatarrh	rhinitis
nasenkorrektur	rhinoplasty
nasenlöcher	nares
nasenlaufen	rhinorrhea
nasenlaut	nasal
nasenloch	nare
nasenlos	arrhinic
nasenlosigkeit	arrhinia
nasennebenhöhlenentzündung	sinusitis
nasenplastik	rhinoplasty
nasenrümpfen	sniff
nasenrachenraum	nasopharynx
nasenrachen	nasopharynx
nasenriemen	noseband
nasenring	nosering
nasenrotz	glanders
nasenschleimhautentzündung	rhinitis
nasenschmerz	rhinalgia
nasenseptumentzündung	nasoseptitis
nasenspülung	collunarium
nasenspiegelung	rhinoscopy
nasenspiegel	rhinarium
nasenstüber	fillip
nasensteinkrankheit	rhinolithiasis
nasensteinleiden	rhinolithiasis
nasentropfen	nosedrops
nasenwachshaut	cere
nasenzwicker	helicopter
nasen	noses
naserümpfend	disdainful
naseweis	cheeky
naseweisheit	cheek
naseweis	impudent
nase	beezer
nashörner	rhinoceroses
nashit	nashite
nashornvogel	hornbill
nashorn	rhinoceros
nasinit	nasinite
nasion	nasion
nasiräat	nazirate
nasiräer	nazirite
nasiriyya	nasiriyah
nasledovit	nasledovite
nasogastrisch	nasogastric
nasomaxillär	nasomaxillary
nasonit	nasonite
nasooropharyngeal	nasooropharyngeal
nasopharyngeal	nasopharyngeal
nasopharyngitis	nasopharyngitis
nasopharyngoskopie	nasopharyngoscopy
nasopharyngoskop	nasopharyngoscope
nasopharynx	nasopharynx
nasoseptitis	nasoseptitis
nasospinale	nasospinale
nasotracheal	nasotracheal
nasran	nazran
nasriden	nasrids
nassabtastung	wetgate
nassauerin	scrounger
nassauer	leech
nassauisch	nassau
nass	drenched
nasser	wetter
nasseste	wettest
nassforsch	brashly
nassgemacht	wetted
nassgeschwitzt	sweaty
nasskalt	dank
nassmetallurgie	hydrometallurgy
nass	sloppy
nastien	nasties
nastie	nasty
nastisch	nastic
nastrophit	nastrophite
nastuch	handkerchief
naszierend	nascent
natürlich	artlessly
natürlicherweise	naturally
natürlichkeit	artlessness
natürlich	naive
natalie	natalie
natalität	natality
natal	natal
natalyit	natalyite
natamycin	natamycin
natanit	natanite
nates	nates
nathalie	natalie
nationalökonomie	economics
nationalökonomisch	economic
nationalökonom	economist
nationalgardist	guardsman
nationalgefühle	nationalisms
nationalisierung	nationalisation
nationalismen	nationalisms
nationalismus	nationalism
nationalisten	nationalists
nationalistin	nationalist
nationalistisch	nationalist
nationalitäten	nationalities
nationalitätsbezogen	nationalized
nationalität	citizenship
national	national
nationalsozialistisch	nazi
nationalspieler	international
national	domestic
nationenübergreifend	transnational
nationengemeinschaft	commonwealth
nationen	nations
nation	nation
natisit	natisite
natis	natis
nativismus	nativism
nativistisch	nativist
nativ	native
natogrün	od
natrit	natrite
natriumanthophyllit	sodicanthophyllite
natriumgedrit	sodicgedrite
natriumpedrizit	sodicpedrizite
natrium	natrium
natriurese	natriuresis
natroautunit	natroautunite
natrochalcit	natrochalcite
natrodufrénit	natrodufrenite
natrojarosit	natrojarosite
natrokarbonatit	natrocarbonatite
natrolemoynit	natrolemoynite
natrolith	natrolite
natromontebrasit	natromontebrasite
natronambulit	natronambulite
natronfeldspat	albite
natron	bicarb
natropharmakoalumit	natropharmacoalumite
natropharmakosiderit	natropharmakosiderite
natrophilit	natrophilite
natrophosphat	natrophosphate
natrosilit	natrosilite
natrotitanit	natrotitanite
natrouranospinit	natrouranospinite
natroxalat	natroxalate
natrozippeit	natrozippeite
natterholz	fellenwort
natterkopf	blueweed
natternhemd	slough
natternwurz	septfoil
nattern	asps
natterwurz	adderswort
natter	adder
naturalabgabe	render
naturaleinkünfte	income
naturalisierend	naturalising
naturalisiert	naturalised
naturalisierung	naturalisation
naturalismus	naturalism
naturalisten	naturalists
naturalistisch	naturalistic
naturallohn	truck
naturalpacht	sharecropping
naturaltausch	barter
naturanlagen	mettles
naturanlage	mettle
naturbedingt	natural
naturbelassen	natural
naturbeschreibend	physiographic
naturbeschreibung	physiography
naturbursche	outdoorsman
naturell	disposition
naturfarben	ecru
naturforscherin	naturalist
naturforscher	naturalist
naturgegeben	natural
naturgemäß	natural
naturgesetzlich	nomological
naturgesetz	principle
naturgetreu	accurate
naturgewalt	element
naturhaft	naturally
naturhaushalt	ecosystem
naturheilärztin	naturopath
naturheiler	naturopath
naturheilkundearzt	herbalist
naturheilkunde	naturopathy
naturheilkundiger	naturopath
naturheilkundige	herbalist
naturheilkundlerin	naturopath
naturheilkundler	naturopath
naturheilkundlich	naturopathic
naturismus	naturism
naturkaviar	scat
naturnotwendig	inevitable
naturrechtlich	jusnaturalistic
naturrein	unadulterated
naturschützerin	conservationist
naturschützer	conservationist
naturschnitzel	cutlet
naturschutz	conservation
natursektspiele	watersports
natursekt	urine
naturtalent	natural
naturtrieb	appetence
naturwüchsig	primordial
naturwissenschaften	sciences
naturwissenschafter	scientist
naturwissenschaftlerin	scientist
naturwissenschaftler	scientist
naturwissenschaftlich	scientific
naturwissenschaft	science
natur	character
nat	nat
naujakasit	naujakasite
naumachie	naumachia
naumannit	naumannite
naupathie	naupathia
nauruerin	nauruan
nauruer	nauruan
nauruisch	nauruan
nauru	nauru
nausea	nausea
nautiker	navigator
nautik	nautics
nautisch	nautical
nautochorie	nautochory
navajoit	navajoite
navajo	navajo
navarin	navarin
navarra	navarre
navarrese	navarrese
navarresisch	navarrese
navicula	navicula
navigationsnetz	navmesh
navigationssystem	gps
navigation	navigation
navigatorin	navigator
navigatorisch	navigational
navigator	navigator
navigierbar	navigable
navigierend	navigating
navigiert	navigated
navikular	navicular
navi	satnav
nawab	nawab
nay	ney
nazaräer	nazarene
nazarener	nazarenes
nazareth	nazareth
nazaret	nazareth
nazifizierung	nazification
nazismus	nazism
nazistisch	nazi
nazoräer	nazarene
nchwaningit	nchwaningite
ndebele	ndebele
nežilovit	nezilovite
ne!	no!
nealit	nealite
neandertaler	neandertal
neandertaloid	neandertaloid
neapeler	neapolitan
neapel	naples
neapolitanerin	neapolitan
neapolitaner	neapolitan
neapolitanisch	neapolitan
nearktisch	nearctic
nebbich	nebbish
nebbisch	nebbish
nebelartig	nebular
nebelbogen	fogbow
nebelflecken	nebulae
nebelfleck	nebula
nebelhörner	foghorns
nebelhaft	blurred
nebelhafter	mistier
nebelhafteste	mistiest
nebelhaft	misty
nebelhorn	foghorn
nebelig	brumous
nebelkrähe	hoodiecrow
nebelmonat	brumaire
nebeln	fogging
nebelscheinwerfer	foglight
nebeltröte	foghorn
nebelwand	smokescreen
nebelwerfer	nebelwerfer
nebel	brume
nebenaggregate	accessories
neben	alongside
nebenanschluss	shunt
nebenapsis	apsidiole
nebenarbeit	moonlighting
nebenarm	anabranch
nebenausgaben	contingencies
nebenbedeutung	connotation
nebenbedingungen	constraint
nebenbedingung	constraint
nebenbei	besides
nebenbemerkung	aside
nebenberuflich	avocational
nebenbeschäftigungen	avocations
nebenbeschäftigung	avocation
neben	beside
nebenbestimmung	rider
nebenblätter	stipules
nebenblatt	stipule
nebenbuhlerin	corrival
nebenbuhler	rival
nebendarsteller	support
nebeneierstock	epoophoron
nebeneinander	abreast
nebeneinanderdarstellung	juxtapositioning
nebeneinandergestellt	juxtaposed
nebeneinanderlaufend	parallel
nebeneinanderliegend	abutting
nebeneinanderliegen	juxtaposition
nebeneinander	parallel
nebeneinanderstellend	juxtaposing
nebeneinanderstellung	juxtaposition
nebeneinander	simultaneously
nebeneingang	backdoor
nebeneinkünfte	emoluments
nebeneinnahmen	extras
nebeneintragungsvermerk	tracing
nebenergebnis	spillover
nebenerscheinungen	outgrowths
nebenerscheinung	outgrowth
nebenerwerb	sideline
nebenfach	minor
nebenflüsse	tributaries
nebenfluss	affluence
nebenform	variant
nebenfrau	concubine
nebengebäude	annexe
nebengebiete	dependencies
nebengedanke	afterthought
nebengeleise	siding
nebengelenktiere	xenarthrans
nebengeordnet	coordinate
nebengeräusch	sidetone
nebengeschichte	gaiden
nebengeschlossen	shunted
nebengestein	wallrock
nebengewässer	backwater
nebengleise	sidings
nebengleis	siding
nebengruppe	subgroup
nebenhöhlenentzündung	sinusitis
nebenhöhlen	sinuses
nebenhandlungen	subplots
nebenhandlung	byplay
nebenher	alongside
nebenhergehend	additional
nebenhodenentfernung	epididymectomy
nebenhodenentzündung	epididymitis
nebenhoden	epididymis
nebenjob	sideline
nebenkosten	extras
nebenkriegsschauplatz	sideshow
nebenläufig	concurrent
nebenläufigkeit	concurrency
nebenläufig	parallel
nebenlösung	cook
nebenleistungen	perks
nebenleitung	submain
nebenlinie	byline
nebenmann	neighbor
nebenmonde	paraselenae
nebenmond	moondog
neben	nearby
nebennierenrindenhormone	adrenocorticosteroids
nebenordnung	parataxis
nebenprodukte	byproducts
nebenprodukt	byproduct
nebensächlich	accessory
nebensächliches	trifles
nebensächlich	immaterial
nebensächlichkeit	accessoriness
nebensächlich	minor
nebensache	accessory
nebensatz	clause
nebenschilddrüse	parathyroid
nebenschlusswiderstand	shunt
nebenschluss	bypass
nebensonnen	parhelia
nebensonne	parhelion
nebensortiment	sideline
nebensprechen	crosstalk
nebenstehend	accompanying
nebenstellen	substations
nebenstelle	branch
nebenstraße	byroad
nebenumstände	concomitants
nebenumstand	accident
nebenverdienste	perks
nebenverträge	subcontracts
nebenvertrag	subcontract
nebenvorstellung	sideshow
nebenweg	byway
nebenwirkung	byeffect
nebenwort	adverb
nebenzimmer	sideroom
nebenzweig	offshoot
neben	by
nebivolol	nebivolol
nebler	fogger
neblig	brumous
nebliger	foggier
neblig	foggy
nebligkeit	fogginess
neblig	mistily
nebligste	foggiest
nebochant	ninny
neborafefuxi	juwafepulolo
nebraska	nebraska
nebst	with
nebuchant	dummy
nebulös	hazy
nebulisator	nebuliser
nebulos	nebulous
necator	necator
nechelyustovit	nechelyustovite
neckar	neckar
neckend	badinaging
necken	ribbing
neckereien	badinages
neckerei	badinage
necker	teaser
necking	necking
neckisch	archly
necklacing	necklacing
neckname	nickname
neddylierung	neddylation
nee!	nah!
neer	eddy
nefazodon	nefazodone
nefedovit	nefedovite
neffen	nephews
neffe	nephew
neftejugansk	nefteyugansk
negationen	negations
negationismus	negationism
negationistisch	negationist
negationsglied	negator
negation	negation
negativ!	negative!
negativ	negative
negativismus	negativism
negativistisch	negativistic
negativist	negativist
negativität	negativism
negativ	negatively
negativsätze	negatives
negator	inverter
negatron	negatron
negentropie	negentropy
negentropisch	negentropic
negerbaby	picaninny
negerboandl	granddaddy
negerinnen	negresses
negerin	negress
negerpuppe	golliwog
negersaat	blackseed
neger	negro
negev	negev
negidalen	negidals
negierend	negating
negiert	negated
negierung	denial
negligés	negligees
negligé	négligée
negligee	negligee
negoziant	merchant
negoziierbar	negotiable
negoziierend	negotiating
negoziiert	negotiated
negoziierung	negotiation
negrid	negroid
negrito	negrito
negroid	negroid
negromantie	necromancy
negusse	neguses
negus	negus
nehemia	nehemiah
nehmend	catching
nehrung	spit
neidempfinden	feelings
neiderin	begrudger
neider	begrudger
neidhammel	envier
neidig	envious
neidisch	envious
neidlos	ungrudging
neidnagel	hangnail
neidvoll	envious
neid	enviousness
neigbar	inclinable
neigend	inclining
neigen	inclining
neige	remains
neighborit	neighborite
neigungen	aptitudes
neigungsmesser	clinometer
neigungsmessgerät	inclinometer
neigungssensor	inclinometer
neigungsverhältnis	gradient
neigungswinkel	inclination
neigung	inclination
nein!	ixnay!
nein	nah
neinstimmen	nays
neinstimme	nay
neins	noes
nein	no
neischabur	neishabur
nekoit	nekoite
nekrasovit	nekrasovite
nekrobazillose	necrobacillosis
nekrobiose	necrobiosis
nekrobiotisch	necrobiotic
nekrologe	necrologies
nekrologie	necrology
nekrologium	necrology
nekrolog	necrology
nekrolyse	necrolysis
nekrolytisch	necrolytic
nekromantie	necromancy
nekromantin	necromancer
nekromantisch	necromantic
nekromant	necromancer
nekrophage	necrophage
nekrophagie	necrophagia
nekrophag	necrophagic
nekrophiler	necrophile
nekrophilie	necrophilia
nekrophil	necrophiliac
nekrophobie	necrophobia
nekrophob	necrophobic
nekrophyt	necrophyte
nekropie	necropsy
nekropolen	necropoleis
nekropole	necropolis
nekropolis	necropolis
nekropsie	necropsy
nekrosektomie	necrectomy
nekrose	necrosis
nekrotisch	necrotic
nekrotisierend	necrotising
nekrotisiert	necrotised
nekrotomie	necrotomy
nekrozoospermie	necrozoospermia
nektarfresser	nectarivore
nektarinenbaum	nectarine
nektarine	nectarine
nektarisch	nectarous
nektarium	nectary
nektarivore	nectarivore
nektarivorie	nectarivory
nektarivor	nectarivorous
nektarn	nectareous
nektarvögel	spiderhunters
nektar	nectar
nekton	nekton
nelenit	nelenite
neleus	neleus
nelfinavir	nelfinavir
nelkengewächse	pinks
nelkenpfeffer	allspice
nelkenwurzen	geum
nelken	carnations
nelke	pink
neltnerit	neltnerite
nemalin	nemaline
nematizide	nematicides
nematizid	nematicidal
nematoden	nematodes
nematode	eelworm
nematophag	nematophagous
nematozid	nematocide
nematozyste	nematocyst
nemesis	nemesis
nenadkevichit	nenadkevichite
nennbar	mentionable
nennbetrieb	rating
nennenswert	any
nenner	denominator
nennform	infinitive
nennkapazität	rating
nennschild	nameplate
nennstrom	ampacity
nennung	credit
nennwertänderung	renominalisation
nennwerte	pars
nennwert	par
nennwort	noun
nenzisch	nenets
neoadjuvant	neoadjuvant
neoallotypus	neoallotype
neoallotyp	neoallotype
neoarchaikum	neoarchean
neobehaviorismus	neobehaviorism
neocalvinismus	neocalvinism
neocerebellum	neocerebellum
neocognitron	neocognitron
neocortex	neocortex
neodigenit	neodigenite
neodym	neodymium
neoendemisch	neoendemic
neoendemismus	neoendemism
neoevolutionismus	neoevolutionism
neofunktionalismus	neofunctionalism
neogen	neogene
neographie	neography
neoimpressionismus	neoimpressionism
neoimpressionistisch	neoimpressionist
neokapitalismus	neocapitalism
neoklassisch	neoclassic
neoklassizismus	neoclassicism
neoklassizistisch	neoclassical
neokolonialismus	neocolonialism
neokonservatismus	neoconservatism
neokorie	neocoria
neokortex	neocortex
neoliberalismus	neoliberalism
neoliberal	neoliberal
neolithiker	neolithics
neolithisch	neolithic
neologen	neologians
neologe	neologian
neologie	neology
neologismus	neologism
neologistisch	neologistic
neomorph	neomorphic
neomycin	neomycin
neonatal	neonatal
neonatizid	neonaticide
neonatologe	neonatologist
neonatologie	neonatology
neonatologin	neonatologist
neonatologisch	neonatologic
neonröhre	striplight
neon	neon
neopaganismus	neopaganism
neopallium	neopallium
neophilie	neophilia
neophobie	neophobia
neophyten	neophytes
neophytisch	neophytic
neophyt	neophyte
neoplasie	neoplasia
neoplasma	neoplasm
neoplastisch	neoplastic
neopragmatisch	neopragmatic
neopragmatismus	neopragmatism
neoprenanzug	wetsuit
neoproterozoikum	neoproterozoic
neopsychoanalytiker	neopsychoanalyst
neopterin	neopterin
neoptolemos	neoptolemus
neopythagoreismus	neopythagoreanism
neosalvarsan	neosalvarsan
neoschamanismus	neoshamanism
neostigmin	neostigmine
neostrukturalismus	neostructuralism
neotam	neotame
neotenie	neoteny
neoteriker	neoterics
neothomismus	neothomism
neotokit	neotokite
neotonalität	neotonality
neotropisch	neotropic
neotropis	neotropics
neotypisch	neotypic
neotypus	neotype
neotyp	neotype
neovaskularisation	neovascularisation
neovaskularisierung	neovascularisation
neovitalismus	neovitalism
neozerebellum	neocerebellum
neo	neonatal
nepalesen	nepalese
nepalesin	nepalese
nepalesisch	nepalese
nepali	nepalese
nepal	nepal
neper	neper
nephalismus	nephalism
nephelin	nepheline
nephelometrie	nephelometry
nephelometrisch	nephelometric
nephelopsie	nephelopsia
nephilim	nephilim
nephoskop	nephoscope
nephralgie	nephralgia
nephra	nephrons
nephrektomie	nephrectomy
nephritis	nephritis
nephritogen	nephritogenic
nephrit	nephrite
nephroblastom	nephroblastoma
nephrogen	nephrogenic
nephrografie	nephrography
nephrografisch	nephrographic
nephrogramm	nephrogram
nephrographie	nephrography
nephrographisch	nephrographic
nephroide	nephroid
nephrokalzinose	nephrocalcinosis
nephrolithiasis	nephrolithiasis
nephrolith	nephrolith
nephrologen	nephrologists
nephrologe	nephrologist
nephrologie	nephrology
nephrologinnen	nephrologists
nephrologin	nephrologist
nephrologisch	nephrological
nephrom	nephroma
nephronophthise	nephronophthisis
nephron	nephron
nephropathie	nephropathy
nephropexie	nephropexy
nephroptose	nephroptosis
nephrorrhagie	nephrorrhagia
nephrosklerose	nephrosclerosis
nephrostomie	nephrostomy
nephrostom	nephrostome
nephrotome	nephrotomes
nephrotomie	nephrotomy
nephrotom	nephrotome
nephrotoxizität	nephrotoxicity
nephroureterektomie	nephroureterectomy
nepotismus	cronyism
nepotisten	nepotists
nepotistisch	nepotistic
nepp	ramp
nepskoeit	nepskoeite
neptunia	neptunia
neptunisch	neptunian
neptunismus	neptunism
neptunit	neptunite
neptunium	neptunium
neptun	neptune
nerdig	nerdy
nerd	nerd
nereide	nereid
nereus	nereus
nerfling	ide
neronisch	neronian
nervös	aflutter
nervöser	jumpier
nervöseste	jumpiest
nervös	flustered
nerval	nerval
nervatur	venation
nervenärztin	neurologist
nervenarzt	neurologist
nervenaufreibend	fraught
nervenbündel	jitterbug
nervenbahn	path
nervenchirurgie	neurosurgery
nervend	nerving
nervenentzündung	neuritis
nervenfaserbündel	commissures
nervenfaserentzündung	neurofibrositis
nervengeflecht	plexus
nervengift	neurotoxin
nervenheilanstalt	sanatorium
nervenkitzel	kick
nervenknoten	ganglion
nervenkostüm	nerves
nervenkranker	neuropath
nervenkranke	neuropath
nervenlähmung	neuroparalysis
nervennaht	neurorrhaphy
nervenplastik	neuroplasty
nervenresektion	neurectomy
nervensäge	irritant
nervenschmerzen	neuralgia
nervenschmerz	neuralgia
nervenschwäche	neurasthenia
nervenschwach	neurasthenic
nervenstärkend	nervine
nervenwurzelerkrankung	radiculopathy
nervenzellenzytoplasmafortsatz	dendrite
nervenzelle	neuron
nervenzermürbend	unnerving
nervenzusammenbruch	meltdown
nerven	nerves
nervier	nervii
nervig	nerved
nervosität	edginess
nervtötend	pesky
nervtöter	gadfly
nerv	nerve
nerze	minks
nerz	mink
nescher	nesher
nesidioblastose	nesidioblastosis
nesosilikate	nesosilicates
nesosilikat	nesosilicate
nespoli	loquat
nesquehonit	nesquehonite
nesselausschlag	hives
nesselbaum	hackberry
nesseln	nettles
nesselstoff	muslin
nesselsucht	hives
nesseltiere	cnidarians
nessel	nettle
nessie	nessie
nestbarkeit	nestability
nestbar	nestable
nestbeschmutzer	people
nestelloch	eyelet
nesten	nestling
nester	nests
nesthäkchen	nestling
nesthocker	twixter
nestjunges	nestling
nestlinge	nestlings
nestling	nestling
nestorianer	nestorians
nestorianisch	nestorian
nestorianismus	nestorianism
nestorin	doyenne
nestor	nestor
nestumgebung	surroundings
nest	nest
netanja	netanya
netbook	netbook
netcaster	netcaster
neticonazol	neticonazole
netikette	netiquette
netilmicin	netilmicin
netiquette	netiquette
netiwot	netivot
netnographie	netnography
netsuke	netsuke
nett	bonny
netter	jollier
netterweise	kindly
netter	nattier
netteste	jolliest
nettheit	niceness
nettigkeit	comeliness
netting	netting
nett	irie
nettolohn	wages
netto	net
nett	prettily
networkerin	networker
networking	networking
netzähnlich	reticulate
netzätzung	halftone
netz!	let!
netzabdeckung	coverage
netzadapter	adapter
netzaderbildung	crazing
netzangriff	volley
netzartig	meshed
netzausfall	blackout
netzbürger	netizen
netzball	let
netzbeutel	litterbag
netzelement	node
netzetikette	netiquette
netze	meshes
netzförmig	cancellate
netzflügler	lacewings
netzgeld	cybermoney
netzgeplauder	chat
netzgewebe	netting
netzhautentzündung	retinitis
netzhaut	fundus
netzherstellung	netting
netzjargon	netspeak
netzkabel	flex
netzkamera	webcam
netzknüpfen	netting
netzknoten	hub
netzkultur	cyberculture
netzleinwand	canvas
netzleitung	mains
netzliste	netlist
netzmagen	reticulum
netzmasche	hook
netzrissbildung	crazing
netzroller	netcord
netzspinne	retilarian
netzstrümpfe	fishnets
netzstruktur	reticulation
netztagebuch	weblog
netzwerkbetrieb	networking
netzwerkbildung	networking
netzwerkelement	node
netzwerker	networker
netzwerke	networks
netzwerkknoten	node
netzwerk	meshes
netz	mesh
net	not
neuübersetzung	retranslation
neuabgleich	readjustment
neuabtastung	rescanning
neu	anew
neuanfang	comeback
neuankömmlinge	newcomers
neuankömmling	newcomer
neuanpassungen	readjustments
neuanpassung	readjustment
neuanschaffungen	accessions
neuanschaffung	accession
neuanwahl	reselection
neuartig	innovative
neuartigkeit	novelty
neuartig	new
neuaufbau	reconstruction
neuaufguss	réchauffé
neuauflage	reissue
neuaufteilung	redistribution
neuausgabe	reissue
neuausrichtung	realignment
neuauswahl	reselection
neuauszählung	recount
neuauszeichnung	repricing
neubürger	immigrant
neubau	reconstruction
neubearbeitung	revision
neubebauung	reconstruction
neubeginn	restart
neubegründung	refounding
neubekehrter	neophyte
neubelebung	reanimation
neubelegung	redefinition
neubenennung	renaming
neuberechnung	recalculation
neubesetzung	replacement
neubesiedlung	resettlement
neubesinnung	reconsideration
neubesohlung	resoling
neubestimmung	redefinition
neubeurteilung	reappraisal
neubewertung	reappraisal
neubewuchs	regrowth
neubildungen	neoplasms
neubildung	emergent
neublocken	reblocking
neublockung	reblocking
neubooten	rebooting
neudefinierung	redefinition
neudefinition	redefining
neudenominierung	redenomination
neudrucke	reprints
neudruck	reprinting
neueinführung	innovation
neueinschätzung	reevaluation
neueinspielen	reloading
neueinspielung	reload
neueinsteigerin	newcomer
neueinsteiger	newcomer
neueinstellung	readjustment
neueinstufung	reclassification
neueinteilung	redistricting
neueintritt	reenter
neuemission	reissue
neuentdeckt	newfound
neuentdeckung	rediscovery
neuentwicklung	redevelopment
neuentwurf	redraft
neueröffnung	opening
neuerdings	lately
neuere	newly
neuerer	experimenter
neuerfindung	reinvention
neuerin	innovator
neuerlich	again
neuer	newer
neuerschaffung	recreation
neuerscheinung	novelty
neuerstellung	regeneration
neuerungen	alterations
neuerungsträchtig	innovatory
neuerung	improvement
neuerwerbung	accession
neuer	recent
neueste	latest
neuevaluierung	reevaluation
neue	newcomer
neufassung	recasting
neufestsetzung	adjustment
neufettung	regreasing
neufinanzierung	recapitalization
neufliesen	retiling
neuformulierung	reformulation
neuformung	reshaping
neu	fresh
neufundländerin	newfie
neufundländer	newfoundlander
neufundländisch	newfoundland
neufundland	newfoundland
neugeborenenabteilung	neonatal
neugeborener	neonate
neugeborenes	neonate
neugeborene	neonate
neugeboren	newborn
neugeburt	rebirth
neugerät	newdrive
neugestaltungen	remakes
neugestaltung	redesign
neugewürz	allspice
neugewinnung	recovery
neugierde	curiosity
neugierig	curiously
neugieriger	nosier
neugierig	inquisitive
neugierigste	nosiest
neugier	curiosity
neugliederung	reorganisation
neugründung	refoundation
neugruppierung	regrouping
neugummierung	recapping
neuhausen	nobottle
neuheidentum	neopaganism
neuheiten	innovations
neuheit	freshness
neuhumanismus	neohumanism
neuigkeiten	news
neuigkeitskrämer	quidnunc
neuigkeit	news
neuinitialisierung	reinitialization
neuinstallation	reinstalling
neuinszenierung	restaging
neuinterpretation	reinterpretation
neujahrsgeschenk	hansel
neujustage	readjustment
neujustierung	realignment
neukalibrierung	recalibration
neukalkulierung	recalculation
neukiefervögel	neognaths
neuklassifizierung	reclassification
neukodifikation	recodification
neukombinierung	recombination
neukonditionierung	reconditioning
neukonstituierung	reconstitution
neukonzeption	reconception
neulackierung	repainting
neulich	lately
neulinge	fledgelings
neuling	boot
neumünder	deuterostomes
neumen	neumes
neume	neume
neumiert	neumed
neumodisch	modern
neumythisch	neomythic
neunauge	lamprey
neuneckig	nonagonal
neuneck	nonagon
neuner	niner
neu	new
neunfach	ninefold
neunheit	ennead
neunling	nonuplet
neun	nine
neu	nouveau
neuntel	ninth
neunte	ninth
neuntens	ninthly
neunten	ninths
neuntklässlerin	freshman
neuntklässler	freshman
neunummerierung	renumbering
neunzöllig	dodrantal
neunzehneck	enneadecagon
neunzehn	nineteen
neunzehnte	nineteenth
neunzehntel	nineteenth
neunzehnten	nineteenths
neunzigeck	enneacontagon
neunziger	nineties
neunzigfach	ninetyfold
neunzigjährig	nonagenarian
neunzig	ninety
neunzigstel	ninetieth
neunzigste	ninetieth
neuordnung	realignment
neuorganisation	reorganisation
neuorganisierung	reorganisation
neuorientierung	realignment
neuplanung	replanning
neuplatoniker	neoplatonist
neuplatonisch	neoplatonic
neuplatonismus	neoplatonism
neupositionierung	repositioning
neuprogrammierung	reprogramming
neuprotestantismus	neoprotestantism
neupythagoreismus	neopythagoreanism
neurahmung	reframing
neuralgieartig	neuralgiform
neuralgie	neuralgia
neuralgiform	neuralgiform
neuralgisch	neuralgic
neural	neural
neuraminidasen	neuraminidases
neuraminidase	neuraminidase
neurasthenie	neurasthenia
neurasthenikerin	neurasthenic
neurastheniker	neurasthenic
neurasthenisch	neurasthenic
neuraxon	neuraxone
neu	recent
neuregelung	reorganization
neureicher	arriviste
neureich	nouveau
neurektomie	neurectomy
neureligiös	neoreligious
neurilemmom	neurilemmoma
neurilemom	neurilemoma
neurinom	neurinoma
neurin	neurine
neuritiden	neuritides
neuritis	neuritis
neurit	neurite
neuroökonomen	neuroeconomists
neuroökonomie	neuroeconomics
neuroökonomisch	neuroeconomic
neuroökonom	neuroeconomist
neuroakanthozytose	neuroacanthocytosis
neuroamine	neuroamines
neuroamin	neuroamine
neuroanatomie	neuroanatomy
neuroanatomisch	neuroanatomic
neuroanthropologie	neuroanthropology
neuroaxonal	neuroaxonal
neurobiochemie	neurobiochemistry
neurobiochemisch	neurobiochemical
neurobiofeedback	neurobiofeedback
